algorithm,instance,time
median 3 random,89,0.02000000
median 9,89,0.01000000
median 9 random,89,0.02000000
dual pivot,89,0.01000000
insertion,90,1.02000000
first,90,0.02000000
random,90,0.01000000
mid,90,0.01000000
median 3,90,0.01000000
median 3 random,90,0.02000000
median 9,90,0.01000000
median 9 random,90,0.01000000
dual pivot,90,0.01000000
insertion,91,1.02000000
first,91,0.01000000
random,91,0.02000000
mid,91,0.01000000
median 3,91,0.01000000
median 3 random,91,0.01000000
median 9,91,0.02000000
median 9 random,91,0.01000000
dual pivot,91,0.01000000
insertion,92,1.01000000
first,92,0.01000000
random,92,0.01000000
mid,92,0.01000000
median 3,92,0.01000000
median 3 random,92,0.02000000
median 9,92,0.01000000
median 9 random,92,0.01000000
dual pivot,92,0.01000000
insertion,93,1.02000000
first,93,0.02000000
random,93,0.01000000
mid,93,0.01000000
median 3,93,0.01000000
median 3 random,93,0.02000000
median 9,93,0.01000000
median 9 random,93,0.01000000
dual pivot,93,0.01000000
insertion,94,1.01000000
first,94,0.02000000
random,94,0.01000000
mid,94,0.01000000
median 3,94,0.01000000
median 3 random,94,0.02000000
median 9,94,0.01000000
median 9 random,94,0.01000000
dual pivot,94,0.01000000
insertion,95,1.04000000
first,95,0.01000000
random,95,0.01000000
mid,95,0.01000000
median 3,95,0.01000000
median 3 random,95,0.02000000
median 9,95,0.01000000
median 9 random,95,0.01000000
dual pivot,95,0.01000000
insertion,96,1.01000000
first,96,0.01000000
random,96,0.02000000
mid,96,0.01000000
median 3,96,0.01000000
median 3 random,96,0.01000000
median 9,96,0.02000000
median 9 random,96,0.01000000
dual pivot,96,0.01000000
insertion,97,1.02000000
first,97,0.01000000
random,97,0.01000000
mid,97,0.01000000
median 3,97,0.01000000
median 3 random,97,0.02000000
median 9,97,0.01000000
median 9 random,97,0.01000000
dual pivot,97,0.01000000
insertion,98,1.00000000
first,98,0.01000000
random,98,0.01000000
mid,98,0.01000000
median 3,98,0.01000000
median 3 random,98,0.02000000
median 9,98,0.01000000
median 9 random,98,0.01000000
dual pivot,98,0.02000000
insertion,99,1.02000000
first,99,0.01000000
random,99,0.02000000
mid,99,0.01000000
median 3,99,0.01000000
median 3 random,99,0.01000000
median 9,99,0.02000000
median 9 random,99,0.01000000
dual pivot,99,0.01000000
insertion,100,1.03000000
first,100,0.01000000
random,100,0.01000000
mid,100,0.01000000
median 3,100,0.01000000
median 3 random,100,0.02000000
median 9,100,0.01000000
median 9 random,100,0.01000000
dual pivot,100,0.02000000
insertion,101,1.00000000
first,101,0.01000000
random,101,0.02000000
mid,101,0.01000000
median 3,101,0.01000000
median 3 random,101,0.01000000
median 9,101,0.02000000
median 9 random,101,0.01000000
dual pivot,101,0.01000000
insertion,102,1.03000000
first,102,0.02000000
random,102,0.01000000
mid,102,0.01000000
median 3,102,0.01000000
median 3 random,102,0.01000000
median 9,102,0.02000000
median 9 random,102,0.01000000
dual pivot,102,0.01000000
insertion,103,0.98000000
first,103,0.01000000
random,103,0.01000000
mid,103,0.01000000
median 3,103,0.01000000
median 3 random,103,0.02000000
median 9,103,0.01000000
median 9 random,103,0.01000000
dual pivot,103,0.01000000
insertion,104,1.00000000
first,104,0.01000000
random,104,0.01000000
mid,104,0.01000000
median 3,104,0.02000000
median 3 random,104,0.01000000
median 9,104,0.01000000
median 9 random,104,0.02000000
dual pivot,104,0.01000000
insertion,105,0.98000000
first,105,0.02000000
random,105,0.01000000
mid,105,0.01000000
median 3,105,0.01000000
median 3 random,105,0.01000000
median 9,105,0.02000000
median 9 random,105,0.01000000
dual pivot,105,0.01000000
insertion,106,0.98000000
first,106,0.02000000
random,106,0.01000000
mid,106,0.01000000
median 3,106,0.01000000
median 3 random,106,0.02000000
median 9,106,0.01000000
median 9 random,106,0.01000000
dual pivot,106,0.01000000
insertion,107,1.01000000
first,107,0.01000000
random,107,0.02000000
mid,107,0.01000000
median 3,107,0.01000000
median 3 random,107,0.01000000
median 9,107,0.02000000
median 9 random,107,0.01000000
dual pivot,107,0.01000000
insertion,108,1.03000000
first,108,0.01000000
random,108,0.01000000
mid,108,0.02000000
median 3,108,0.01000000
median 3 random,108,0.01000000
median 9,108,0.01000000
median 9 random,108,0.02000000
dual pivot,108,0.01000000
insertion,109,1.02000000
first,109,0.01000000
random,109,0.01000000
mid,109,0.01000000
median 3,109,0.01000000
median 3 random,109,0.02000000
median 9,109,0.01000000
median 9 random,109,0.01000000
dual pivot,109,0.01000000
insertion,110,1.01000000
first,110,0.01000000
random,110,0.02000000
mid,110,0.01000000
median 3,110,0.01000000
median 3 random,110,0.01000000
median 9,110,0.02000000
median 9 random,110,0.01000000
dual pivot,110,0.01000000
insertion,111,1.04000000
first,111,0.01000000
random,111,0.01000000
mid,111,0.01000000
median 3,111,0.02000000
median 3 random,111,0.01000000
median 9,111,0.01000000
median 9 random,111,0.02000000
dual pivot,111,0.01000000
insertion,112,1.02000000
first,112,0.01000000
random,112,0.02000000
mid,112,0.01000000
median 3,112,0.01000000
median 3 random,112,0.01000000
median 9,112,0.02000000
median 9 random,112,0.01000000
dual pivot,112,0.01000000
insertion,113,1.02000000
first,113,0.01000000
random,113,0.01000000
mid,113,0.01000000
median 3,113,0.02000000
median 3 random,113,0.01000000
median 9,113,0.01000000
median 9 random,113,0.02000000
dual pivot,113,0.01000000
insertion,114,1.03000000
first,114,0.01000000
random,114,0.01000000
mid,114,0.01000000
median 3,114,0.01000000
median 3 random,114,0.02000000
median 9,114,0.01000000
median 9 random,114,0.01000000
dual pivot,114,0.02000000
insertion,115,1.00000000
first,115,0.01000000
random,115,0.02000000
mid,115,0.01000000
median 3,115,0.01000000
median 3 random,115,0.01000000
median 9,115,0.02000000
median 9 random,115,0.01000000
dual pivot,115,0.01000000
insertion,116,0.99000000
first,116,0.01000000
random,116,0.01000000
mid,116,0.02000000
median 3,116,0.01000000
median 3 random,116,0.01000000
median 9,116,0.01000000
median 9 random,116,0.02000000
dual pivot,116,0.01000000
insertion,117,1.03000000
first,117,0.01000000
random,117,0.01000000
mid,117,0.01000000
median 3,117,0.02000000
median 3 random,117,0.01000000
median 9,117,0.01000000
median 9 random,117,0.02000000
dual pivot,117,0.01000000
insertion,118,1.01000000
first,118,0.01000000
random,118,0.01000000
mid,118,0.01000000
median 3,118,0.02000000
median 3 random,118,0.01000000
median 9,118,0.01000000
median 9 random,118,0.02000000
dual pivot,118,0.01000000
insertion,119,0.97000000
first,119,0.02000000
random,119,0.01000000
mid,119,0.01000000
median 3,119,0.01000000
median 3 random,119,0.01000000
median 9,119,0.02000000
median 9 random,119,0.01000000
dual pivot,119,0.01000000
insertion,120,1.01000000
first,120,0.01000000
random,120,0.01000000
mid,120,0.02000000
median 3,120,0.01000000
median 3 random,120,0.01000000
median 9,120,0.01000000
median 9 random,120,0.02000000
dual pivot,120,0.01000000
insertion,121,1.03000000
first,121,0.01000000
random,121,0.01000000
mid,121,0.01000000
median 3,121,0.01000000
median 3 random,121,0.02000000
median 9,121,0.01000000
median 9 random,121,0.01000000
dual pivot,121,0.01000000
insertion,122,0.98000000
first,122,0.02000000
random,122,0.01000000
mid,122,0.01000000
median 3,122,0.01000000
median 3 random,122,0.01000000
median 9,122,0.02000000
median 9 random,122,0.01000000
dual pivot,122,0.01000000
insertion,123,1.01000000
first,123,0.01000000
random,123,0.02000000
mid,123,0.01000000
median 3,123,0.01000000
median 3 random,123,0.01000000
median 9,123,0.01000000
median 9 random,123,0.02000000
dual pivot,123,0.01000000
insertion,124,1.00000000
first,124,0.02000000
random,124,0.01000000
mid,124,0.01000000
median 3,124,0.01000000
median 3 random,124,0.01000000
median 9,124,0.02000000
median 9 random,124,0.01000000
dual pivot,124,0.01000000
insertion,125,1.01000000
first,125,0.01000000
random,125,0.01000000
mid,125,0.02000000
median 3,125,0.01000000
median 3 random,125,0.01000000
median 9,125,0.01000000
median 9 random,125,0.02000000
dual pivot,125,0.01000000
insertion,126,0.99000000
first,126,0.01000000
random,126,0.01000000
mid,126,0.01000000
median 3,126,0.01000000
median 3 random,126,0.02000000
median 9,126,0.01000000
median 9 random,126,0.01000000
dual pivot,126,0.01000000
insertion,127,1.04000000
first,127,0.01000000
random,127,0.02000000
mid,127,0.01000000
median 3,127,0.01000000
median 3 random,127,0.01000000
median 9,127,0.01000000
median 9 random,127,0.02000000
dual pivot,127,0.01000000
insertion,128,1.01000000
first,128,0.01000000
random,128,0.01000000
mid,128,0.01000000
median 3,128,0.01000000
median 3 random,128,0.02000000
median 9,128,0.01000000
median 9 random,128,0.01000000
dual pivot,128,0.01000000
